time,open,high,low,close,volume
2019/09/03 04:01:00,50.83312011,50.83312011,50.77381068,50.77381068,3120
2019/09/03 04:02:00,50.8701885,51.07530026,50.8701885,51.07530026,2456
2019/09/03 04:03:00,50.90972812,50.93444038,50.90972812,50.92208425,1800
2019/09/03 04:07:00,50.98139367,50.98139367,50.98139367,50.98139367,1600
2019/09/03 04:15:00,51.09259884,51.13213846,51.09259884,51.13213846,2988
2019/09/03 04:16:00,51.25075731,51.25075731,51.20133279,51.20133279,992
2019/09/03 04:21:00,51.09259884,51.12966724,51.09259884,51.12966724,2600
2019/09/03 04:22:00,51.08024271,51.08518517,51.08024271,51.08024271,2064
2019/09/03 04:27:00,51.08518517,51.08518517,51.08518517,51.08518517,448
2019/09/03 04:31:00,51.08518517,51.08518517,51.06541536,51.06541536,6320
2019/09/03 04:32:00,51.05800168,51.05800168,51.05800168,51.05800168,460
2019/09/03 04:33:00,51.0407031,51.0407031,51.0407031,51.0407031,400
2019/09/03 04:34:00,51.03328942,51.03328942,51.03328942,51.03328942,1216
2019/09/03 04:39:00,51.07282904,51.07282904,51.07282904,51.07282904,4472
2019/09/03 04:54:00,51.03328942,51.03328942,51.03328942,51.03328942,668
2019/09/03 05:05:00,51.13708091,51.1543795,51.10495497,51.10495497,9760
2019/09/03 05:06:00,51.10495497,51.15685072,51.10495497,51.15685072,2040
2019/09/03 05:07:00,51.16673563,51.16673563,51.16673563,51.16673563,7200
2019/09/03 05:16:00,51.1543795,51.17909176,51.1543795,51.1543795,12200
2019/09/03 05:20:00,51.1543795,51.1543795,51.1543795,51.1543795,11760
2019/09/03 05:26:00,51.16179317,51.16179317,51.16179317,51.16179317,1000
2019/09/03 05:28:00,51.03328942,51.03328942,51.03081819,51.03081819,3096
2019/09/03 05:30:00,51.03576065,51.03576065,51.03576065,51.03576065,400
2019/09/03 05:43:00,50.95668141,50.95668141,50.93444038,50.93444038,1860
2019/09/03 05:44:00,50.93444038,50.93444038,50.93444038,50.93444038,2780
2019/09/03 05:57:00,50.89737199,50.89737199,50.89737199,50.89737199,4216
2019/09/03 05:58:00,50.93196915,50.93196915,50.93196915,50.93196915,400
2019/09/03 06:00:00,50.88254463,50.88254463,50.85783237,50.85783237,2088
2019/09/03 06:01:00,50.85783237,50.85783237,50.83312011,50.83312011,1200
2019/09/03 06:02:00,50.85783237,50.85783237,50.85783237,50.85783237,1200
