,close_sma,trend_sma_slow,trend_ema_fast,trend_ema_slow,volatility_atr,momentum_rsi,volume_vpt
722,-1.0279473355088125,-1.0588861960215428,-1.0417225425251975,-1.0650812167379986,-0.4075396849710474,0.7700917262305946,0.0
723,-1.0358420457175999,-1.0591289848656287,-1.0444955872424215,-1.064580701217228,-0.23448702986894426,0.05756240143860318,-0.06205891635854842
724,-1.0362367802696462,-1.0569438842863237,-1.0422308706774441,-1.0619108838501417,-0.09241243303958821,0.5327317221922323,-0.033974048831793266
725,-1.0389999285232543,-1.0573687648862928,-1.041770721415873,-1.060135581485105,-0.14229204443124588,0.3416765688468016,0.013190144923550322
726,-1.0393946630753006,-1.0562155172628094,-1.039925214978054,-1.057795032246322,-0.1871836946837377,0.4859531198953371,0.06335804932264379
727,-1.0318946874185595,-1.0550622696393257,-1.038363632607594,-1.0556278570252282,-0.29595030970808167,0.4859531198953371,0.0782527719258486
728,-1.027552597762124,-1.0532413525717825,-1.0343726878092159,-1.0523438375486998,-0.2571120589639409,0.7509452209342995,0.07127121269820343
729,-1.020842094404122,-1.0520274078600824,-1.0309957345182794,-1.0493030787741335,-0.3452130447977277,0.7509452209342995,0.07127121269820343
730,-1.0133421203447088,-1.0499637017028272,-1.0261967803364533,-1.0455585605433981,-0.3424669541603849,0.9390609898719721,0.05344920270828488
731,-0.9975526999271339,-1.0469895370117912,-1.017039604983873,-1.0396527868691379,-0.16224872404869836,1.3484600518419316,0.1272911224048469
732,-0.9983421706285498,-1.0440760696545885,-1.016814662616005,-1.0377843560169315,0.13667594264602206,0.3067402431533232,-0.0024184466399128106
733,-0.9979474344791848,-1.0407984187856334,-1.0158962520810983,-1.03570595207376,0.022869004741888497,0.37269653002866665,-0.06695441866308247
734,-1.0026842602849944,-1.0380063458504805,-1.016332592955898,-1.0343621294487884,-0.052211598518605726,0.22577422538990943,-0.015507015038516288
735,-1.0137368548967596,-1.036064034115266,-1.0154883469840883,-1.03253722376992,-0.11978414145305072,0.3468662547752056,-0.003066381662588369
736,-1.0129473841953438,-1.0330291723360272,-1.0150166768970155,-1.0309636215715605,-0.22161791903792652,0.31459472839182956,0.01962506930351772
