,close_sma,trend_sma_slow,trend_ema_fast,trend_ema_slow,volatility_atr,momentum_rsi,volume_vpt
10189,-0.2994894109910193,-0.20327259082729623,-0.28750847970052107,-0.2370291138878052,2.536971042452324,-0.4804491597510409,7.198919228259134
10190,-0.29907166748141983,-0.21304909973395703,-0.2913552603059465,-0.2426230488207819,2.424205009300994,-0.6959520528353597,-2.718836534631143
10191,-0.3015906664903658,-0.22276128940205478,-0.2956398416390286,-0.24829929171258186,2.265251040258776,-0.7431428501975093,-4.103978597246453
10192,-0.31247291179338205,-0.23250242263641221,-0.30080967734751335,-0.2543000829345294,2.03024907517173,-0.8161870866399614,-1.8992496915086454
10193,-0.3410884115088734,-0.24353315448288532,-0.3156089905482088,-0.2648851922700177,2.22099945309109,-1.2517001736637987,-19.57106714377377
10194,-0.354038490734328,-0.2542101309076327,-0.3231121199884208,-0.27226493494359466,2.1858022753504414,-0.8953150550601209,-10.164369684038231
10195,-0.37325473950814586,-0.26578757537100817,-0.33435158678678184,-0.28145723043757015,2.360997333251897,-1.0923737657901367,-0.8107256964604881
10196,-0.3930892494199674,-0.27733093068739245,-0.3457872821263314,-0.2908973949685378,2.415236603175713,-1.1674263611043343,-11.567448346965746
10197,-0.3914182720006982,-0.28897462404717716,-0.35263735069410634,-0.29827491879209445,2.4180802961395713,-0.9564032799137017,0.26438368411928376
10198,-0.3908877376420747,-0.29989151102617484,-0.3541169077732628,-0.303023654839632,2.432132509045455,-0.6483033157077361,6.921031220669988
10199,-0.3808618680551282,-0.3101182535617472,-0.3544087253243568,-0.3069574840737609,2.3298503292348114,-0.5807897845886948,5.397849749590535
10200,-0.3810790956267687,-0.31963748577439516,-0.36289255706192414,-0.31457330863493094,2.41019012454414,-0.9755920387001716,-7.2688502954884475
10201,-0.3817057125816108,-0.32819193097013,-0.36749715005396283,-0.32038331376743306,2.2181588832484422,-0.7872112068068934,-6.1123309019091066
10202,-0.38516045995960896,-0.33700365259959486,-0.3688193102613137,-0.3245212638733917,2.0182074507451864,-0.6014755486101264,3.7227025286607187
10203,-0.38850241648859274,-0.34359314808916636,-0.36890844703590553,-0.32785602514482026,1.8873259408515626,-0.5263871987592386,2.0947305574373782
10204,-0.37450797341783004,-0.3434966693614487,-0.3665385379783929,-0.3297641668498791,1.8538905526618048,-0.3464145426229675,2.691594186157574
10205,-0.3727367363391432,-0.3467621519737053,-0.36949082028827146,-0.33392244900426793,1.8496578203448621,-0.6362434746987851,-4.849650532873819
10206,-0.37868959571965694,-0.352020241333068,-0.3741742602004902,-0.338826900271959,1.8056231094042778,-0.7563440885390079,-8.28242445503121
10207,-0.3974045512676892,-0.3570885891598854,-0.3849712307700111,-0.3466647305908319,1.92413445706296,-1.0972903199830202,-17.02303337501258
10208,-0.41515869437703995,-0.36123717341074396,-0.3910697686527691,-0.35245679327963103,1.7697904865812413,-0.8479699923350981,-12.812336337721407
10209,-0.4356824822630044,-0.3650821712615723,-0.4028942434903023,-0.36103453482103764,1.8371787912045134,-1.1601588925440547,-4.609856206818741
10210,-0.43307157772104354,-0.3673590686111095,-0.4008299232721229,-0.3631546303862981,2.1723940599016562,-0.31721932447089773,12.738218156594648
10211,-0.43003457554308055,-0.3699016041582667,-0.4056547002961427,-0.36828770230572483,2.165043246463722,-0.6321406294107639,14.684099528331348
10212,-0.43750384748097393,-0.3752966932381183,-0.41317353839919246,-0.37469819482726435,2.13544168938581,-0.7840472170591907,-10.70762284007495
10213,-0.42273657841031786,-0.37912818400460324,-0.41249822347689025,-0.37723907118207517,2.1533927745321466,-0.35051094864599175,5.201905745491199
10214,-0.43628403514820274,-0.3852050560242635,-0.4173039608203322,-0.38218561337128737,2.090477503918227,-0.6006377996538106,7.017160994879407
